Career,Score,Missing Skills,Confidence
Software Engineer,46,"Python, SQL",53.856787679177096
Software Engineer,46,"Python, SQL",53.856787679177096
Software Engineer,52,SQL,45.34315975259105
Education,9,,18.16597186151762
Education,9,,18.16597186151762
Software Engineer,52,SQL,45.34315975259105
Software Engineer,46,"Python, SQL",53.856787679177096
Software Engineer,46,"Python, SQL",53.856787679177096
Software Engineer,52,SQL,45.34315975259105
Software Engineer,46,"Python, SQL",53.856787679177096
